country,indicator,percent,year
Kenya,GDP growth (annual %),6.319781365,2018
Kenya,GDP growth (annual %),4.862538221,2017
Kenya,GDP growth (annual %),5.878949299,2016
Kenya,GDP growth (annual %),5.718507134,2015
Kenya,GDP growth (annual %),5.357125643,2014
Kenya,GDP growth (annual %),5.878680567,2013
Kenya,GDP growth (annual %),4.563209131,2012
Kenya,GDP growth (annual %),6.10826372,2011
Kenya,GDP growth (annual %),8.405699224,2010
Kenya,GDP growth (annual %),3.306939815,2009
Kenya,GDP growth (annual %),0.232282746,2008
Kenya,GDP growth (annual %),6.850729771,2007
Kenya,GDP growth (annual %),6.472494299,2006
Kenya,GDP growth (annual %),5.906666082,2005
Kenya,GDP growth (annual %),5.104299776,2004
Kenya,GDP growth (annual %),2.932475546,2003
Kenya,GDP growth (annual %),0.54685953,2002
Kenya,GDP growth (annual %),3.779906496,2001
Kenya,GDP growth (annual %),0.599695392,2000
Kenya,GDP growth (annual %),2.305388596,1999
Kenya,GDP growth (annual %),3.290213723,1998
Kenya,GDP growth (annual %),0.47490192,1997
Kenya,GDP growth (annual %),4.146839267,1996
Kenya,GDP growth (annual %),4.406216526,1995
Kenya,GDP growth (annual %),2.632784519,1994
Kenya,GDP growth (annual %),0.353197256,1993
Kenya,GDP growth (annual %),-0.79949396,1992
Kenya,GDP growth (annual %),1.438346791,1991
Kenya,GDP growth (annual %),4.192050974,1990
Kenya,GDP growth (annual %),4.690348768,1989
Kenya,GDP growth (annual %),6.20318382,1988
Kenya,GDP growth (annual %),5.937107446,1987
Kenya,GDP growth (annual %),7.177555391,1986
Kenya,GDP growth (annual %),4.30056182,1985
Kenya,GDP growth (annual %),1.755216977,1984
Kenya,GDP growth (annual %),1.309050242,1983
Kenya,GDP growth (annual %),1.506478254,1982
Kenya,GDP growth (annual %),3.773544197,1981
Kenya,GDP growth (annual %),5.591976207,1980
Nigeria,GDP growth (annual %),1.937268068,2018
Nigeria,GDP growth (annual %),0.80588662,2017
Nigeria,GDP growth (annual %),-1.61686895,2016
Nigeria,GDP growth (annual %),2.652693295,2015
Nigeria,GDP growth (annual %),6.309718656,2014
Nigeria,GDP growth (annual %),6.671335393,2013
Nigeria,GDP growth (annual %),4.230061175,2012
Nigeria,GDP growth (annual %),5.307924204,2011
Nigeria,GDP growth (annual %),8.005655915,2010
Nigeria,GDP growth (annual %),8.036925102,2009
Nigeria,GDP growth (annual %),6.764472778,2008
Nigeria,GDP growth (annual %),6.591130361,2007
Nigeria,GDP growth (annual %),6.059428031,2006
Nigeria,GDP growth (annual %),6.438516525,2005
Nigeria,GDP growth (annual %),9.250558228,2004
Nigeria,GDP growth (annual %),7.34719497,2003
Nigeria,GDP growth (annual %),15.32915574,2002
Nigeria,GDP growth (annual %),5.917684652,2001
Nigeria,GDP growth (annual %),5.015934757,2000
Nigeria,GDP growth (annual %),0.584126895,1999
Nigeria,GDP growth (annual %),2.581254103,1998
Nigeria,GDP growth (annual %),2.93709942,1997
Nigeria,GDP growth (annual %),4.195924045,1996
Nigeria,GDP growth (annual %),-0.072664767,1995
Nigeria,GDP growth (annual %),-1.814924483,1994
Nigeria,GDP growth (annual %),-2.035118776,1993
Nigeria,GDP growth (annual %),4.631192947,1992
Nigeria,GDP growth (annual %),0.358352604,1991
Nigeria,GDP growth (annual %),11.77688593,1990
Nigeria,GDP growth (annual %),1.919381297,1989
Nigeria,GDP growth (annual %),7.334025488,1988
Nigeria,GDP growth (annual %),3.200125467,1987
Nigeria,GDP growth (annual %),0.06094527,1986
Nigeria,GDP growth (annual %),5.913027464,1985
